frame.number,frame.time_relative,ip.src,ip.dst,ip.proto
1,0.000000000,11.0.1.1,11.0.3.1,17
2,0.000000000,11.0.2.1,11.0.4.1,17
3,0.000000000,11.0.1.1,11.0.3.1,17
4,0.000000000,11.0.2.1,11.0.4.1,17
5,0.000000000,11.0.1.1,11.0.3.1,17
6,0.000000000,11.0.2.1,11.0.4.1,17
7,0.000000000,11.0.1.1,11.0.3.1,17
8,0.000000000,11.0.2.1,11.0.4.1,17
9,0.000001000,11.0.1.1,11.0.3.1,17
10,0.000001000,11.0.2.1,11.0.4.1,17
11,0.000001000,11.0.1.1,11.0.3.1,17
12,0.000001000,11.0.2.1,11.0.4.1,17
13,0.000001000,11.0.1.1,11.0.3.1,17
14,0.000001000,11.0.2.1,11.0.4.1,17
15,0.000001000,11.0.1.1,11.0.3.1,17
16,0.000001000,11.0.2.1,11.0.4.1,17
17,0.000001000,11.0.1.1,11.0.3.1,17
18,0.000002000,11.0.2.1,11.0.4.1,17
19,0.000002000,11.0.1.1,11.0.3.1,17
20,0.000002000,11.0.2.1,11.0.4.1,17
21,0.000002000,11.0.1.1,11.0.3.1,17
22,0.000002000,11.0.2.1,11.0.4.1,17
23,0.000002000,11.0.1.1,11.0.3.1,17
24,0.000002000,11.0.2.1,11.0.4.1,17
25,0.000002000,11.0.1.1,11.0.3.1,17
26,0.000002000,11.0.2.1,11.0.4.1,17
27,0.000003000,11.0.1.1,11.0.3.1,17
28,0.000003000,11.0.2.1,11.0.4.1,17
29,0.000003000,11.0.1.1,11.0.3.1,17
30,0.000003000,11.0.2.1,11.0.4.1,17
31,0.000003000,11.0.1.1,11.0.3.1,17
32,0.000003000,11.0.2.1,11.0.4.1,17
33,0.000003000,11.0.1.1,11.0.3.1,17
34,0.000003000,11.0.2.1,11.0.4.1,17
35,0.000003000,11.0.1.1,11.0.3.1,17
36,0.000003000,11.0.2.1,11.0.4.1,17
37,0.000004000,11.0.1.1,11.0.3.1,17
38,0.000004000,11.0.2.1,11.0.4.1,17
39,0.000004000,11.0.1.1,11.0.3.1,17
40,0.000004000,11.0.2.1,11.0.4.1,17
41,0.000004000,11.0.1.1,11.0.3.1,17
42,0.000004000,11.0.2.1,11.0.4.1,17
43,0.000004000,11.0.1.1,11.0.3.1,17
44,0.000004000,11.0.2.1,11.0.4.1,17
45,0.000004000,11.0.1.1,11.0.3.1,17
46,0.000005000,11.0.2.1,11.0.4.1,17
47,0.000005000,11.0.1.1,11.0.3.1,17
48,0.000005000,11.0.2.1,11.0.4.1,17
49,0.000005000,11.0.1.1,11.0.3.1,17
50,0.000005000,11.0.2.1,11.0.4.1,17
51,0.000005000,11.0.1.1,11.0.3.1,17
52,0.000005000,11.0.2.1,11.0.4.1,17
53,0.000005000,11.0.1.1,11.0.3.1,17
54,0.000005000,11.0.2.1,11.0.4.1,17
55,0.000006000,11.0.1.1,11.0.3.1,17
56,0.000006000,11.0.2.1,11.0.4.1,17
57,0.000006000,11.0.1.1,11.0.3.1,17
58,0.000006000,11.0.2.1,11.0.4.1,17
59,0.000006000,11.0.1.1,11.0.3.1,17
60,0.000006000,11.0.2.1,11.0.4.1,17
61,0.000006000,11.0.1.1,11.0.3.1,17
62,0.000006000,11.0.2.1,11.0.4.1,17
63,0.000006000,11.0.1.1,11.0.3.1,17
64,0.000006000,11.0.2.1,11.0.4.1,17
65,0.000007000,11.0.1.1,11.0.3.1,17
66,0.000007000,11.0.2.1,11.0.4.1,17
67,0.000007000,11.0.1.1,11.0.3.1,17
